"id","Specimen","NFlag","Egg10","Ovip","OvipS","MyrmicaYN","Noperaiepittfall","NoperaiepittfallS","Horigano","HoriganoS","HGrass","HGrassS","Origanupatchdiameter","OriganupatchdiameterS","BV","BVR","BR","BF","NB","scabrinodis","scabrinodisS","sabuleti","sabuletiS","schencki","schenckiS","sulcinodis","sulcinodisS","rugulosa","rugulosaS"
66,5,23,0,0,-0.82,1,20,0.76,45,-0.2,10,-0.56,180,1.99,1,0,0,1,0,20,0.84,0,-0.3,0,-0.31,0,-0.17,0,-0.11
67,5,23,0,0,-0.82,1,20,0.76,45,-0.2,10,-0.56,180,1.99,1,0,0,1,0,20,0.84,0,-0.3,0,-0.31,0,-0.17,0,-0.11
68,5,25,0,0,-0.82,1,2,-0.41,45,-0.2,35,2.84,70,-0.11,1,0,0,0,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
69,5,26,0,0,-0.82,1,1,-0.47,55,0.41,20,0.8,10,-1.25,1,0,0,0,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
70,12,26,0,0,-0.82,1,1,-0.47,55,0.41,20,0.8,10,-1.25,1,0,0,0,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
71,6,30,0,0,-0.82,1,1,-0.47,37.5,-0.65,15,0.12,50,-0.49,0,0,1,1,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
72,6,31,0,0,-0.82,1,5,-0.21,25,-1.4,15,0.12,100,0.47,0,1,0,0,1,3,-0.26,1,0.2,0,-0.31,0,-0.17,0,-0.11
73,6,32,0,0,-0.82,1,1,-0.47,45,-0.2,5,-1.23,15,-1.16,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
74,6,34,0,0,-0.82,1,1,-0.47,40,-0.5,3,-1.51,15,-1.16,1,0,0,0,1,0,-0.45,1,0.2,0,-0.31,0,-0.17,0,-0.11
75,7,42,0,0,-0.82,1,5,-0.21,40,-0.5,20,0.8,8,-1.29,1,0,0,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
76,7,43,0,0,-0.82,1,2,-0.41,30,-1.1,15,0.12,150,1.42,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,2,11.99
77,7,44,0,0,-0.82,1,1,-0.47,60,0.71,20,0.8,20,-1.06,1,0,0,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
78,10,44,0,0,-0.82,1,1,-0.47,60,0.71,20,0.8,20,-1.06,1,0,0,0,0,1,-0.39,0,-0.3,0,-0.31,0,-0.17,0,-0.11
79,7,45,0,0,-0.82,1,5,-0.21,50,0.11,35,2.84,60,-0.3,0,0,1,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
80,7,46,0,0,-0.82,1,5,-0.21,40,-0.5,25,1.48,100,0.47,1,0,0,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
81,7,47,0,0,-0.82,1,10,0.11,45,-0.2,20,0.8,12,-1.21,1,0,0,0,0,10,0.2,0,-0.3,0,-0.31,0,-0.17,0,-0.11
82,8,57,0,0,-0.82,1,10,0.11,50,0.11,5,-1.23,120,0.85,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
83,8,60,0,0,-0.82,1,0,-0.54,55,0.41,5,-1.23,25,-0.97,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
84,8,67,0,0,-0.82,1,5,-0.21,35,-0.8,8,-0.83,70,-0.11,1,0,0,1,0,0,-0.45,0,-0.3,5,4.03,0,-0.17,0,-0.11
85,10,70,0,0,-0.82,1,5,-0.21,40,-0.5,20,0.8,45,-0.58,1,0,0,0,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
86,10,77,0,0,-0.82,1,2,-0.41,75,1.61,5,-1.23,120,0.85,1,0,0,0,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
87,12,79,0,0,-0.82,1,10,0.11,40,-0.5,10,-0.56,10,-1.25,1,0,0,0,0,0,-0.45,10,4.63,0,-0.31,0,-0.17,0,-0.11
88,10,82,0,0,-0.82,1,1,-0.47,60,0.71,5,-1.23,20,-1.06,1,0,0,1,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
89,10,83,0,0,-0.82,1,1,-0.47,55,0.41,10,-0.56,15,-1.16,1,1,1,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
90,10,84,0,0,-0.82,1,5,-0.21,45,-0.2,10,-0.56,100,0.47,1,0,0,0,0,0,-0.45,0,-0.3,0,-0.31,0,-0.17,0,-0.11
91,10,85,0,0,-0.82,1,2,-0.41,60,0.71,30,2.16,180,1.99,1,0,0,1,0,0,-0.45,0,-0.3,2,1.43,0,-0.17,0,-0.11
92,10,90,0,0,-0.82,1,5,-0.21,45,-0.2,20,0.8,80,0.08,1,1,0,0,0,0,-0.45,0,-0.3,5,4.03,0,-0.17,0,-0.11
93,10,92,0,0,-0.82,1,10,0.11,52.5,0.26,20,0.8,170,1.8,1,0,1,0,0,9,0.13,0,-0.3,0,-0.31,1,5.93,0,-0.11
94,12,95,0,0,-0.82,1,2,-0.41,40,-0.5,5,-1.23,20,-1.06,1,0,0,0,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
95,12,96,0,0,-0.82,1,3,-0.34,40,-0.5,5,-1.23,40,-0.68,1,0,0,0,0,2,-0.32,1,0.2,0,-0.31,0,-0.17,0,-0.11
96,12,97,0,0,-0.82,1,5,-0.21,55,0.41,15,0.12,50,-0.49,1,0,0,1,0,5,-0.13,0,-0.3,0,-0.31,0,-0.17,0,-0.11
